Epoch, Loss, Val AUC, Val AP, Val P
10.0,0.6384,0.8252,0.8477,0.5822
20.0,0.5384,0.8056,0.8459,0.79
30.0,0.5003,0.8324,0.865,0.7903
40.0,0.4633,0.8423,0.8669,0.8844
50.0,0.4284,0.8711,0.8921,0.8584
60.0,0.3982,0.8763,0.8953,0.8826
70.0,0.3832,0.8825,0.8978,0.865
80.0,0.3744,0.8865,0.9001,0.8591
90.0,0.3671,0.8901,0.8971,0.8688
100.0,0.3541,0.8942,0.9016,0.8805
110.0,0.3557,0.8995,0.9056,0.8789
120.0,0.3398,0.9043,0.9121,0.8831
130.0,0.3281,0.909,0.9171,0.8896
140.0,0.3062,0.9188,0.927,0.8935
150.0,0.2879,0.9296,0.9363,0.9148
160.0,0.2592,0.9372,0.9471,0.9531
170.0,0.2462,0.9439,0.9525,0.899
180.0,0.2355,0.9467,0.9548,0.898
190.0,0.2227,0.9496,0.9582,0.9022
200.0,0.2121,0.9509,0.959,0.897
